Country,Year,Happiness index,GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Country code,Inflation rate,Adult education,Housing prices,Trust in government,Self-employment rate,Poverty rate,Unemployed youth rate,Households overcrowding,Internet access,Home access to computers,Unemployment benefits,Average wage,Health spending,Happy country
India,2006,4.427788734436035,8.478379249572754,0.5528263449668884,58.29999923706055,0.7401766180992126,0.08425050973892212,0.832356333732605,0.6799577474594116,0.3304373621940613,IND,10.90764,71.298172,76.6862500000001,42.72276501723255,19.878318357723604,0.236,8.244254448766613,11.405780157246307,73.11678015923827,72.59778242320324,42.07643312101911,40640.148718197495,3.749,0
Israel,2006,7.079411029815674,10.535648345947266,0.8641301989555359,72.69999694824219,0.7527839541435242,0.10847609490156174,0.7894299030303955,0.6965476870536804,0.2562582492828369,ISR,-12.34048,14.464885,100.0,40.5343225887399,15.85165,0.255,8.8250065,11.405780157246307,74.29,80.3,25.0,35626.5366185137,7.099,0
Latvia,2006,4.666971683502197,10.135619163513184,0.8355085849761963,63.52000045776367,0.70017409324646,-0.16673438251018524,0.9239526391029358,0.6725207567214966,0.2468625009059906,LVA,10.31641,15.36415,142.3675,10.7237335401424,12.94548,0.145,6.4030027,34.0795755386352,50.5329,49.2205,0.0,21649.1386886051,2.032,0
Lithuania,2006,5.808284759521484,10.162817001342773,0.9407919645309448,63.47999954223633,0.5896623134613037,-0.28180429339408875,0.9663260579109192,0.589249312877655,0.2791842520236969,LTU,6.836019,11.068882,119.055,11.4503268369894,17.37182,0.144,3.9872205,11.453016102314,44.3623,46.2723,20.0,22279.3052379733,1.637,1
Luxembourg,2006,7.097251892089844,11.591707229614258,0.9523717164993286,71.69999694824219,0.9083030819892883,0.0958511009812355,0.4233413338661194,0.8087828755378723,0.21606439352035522,LUX,10.18432,22.322315,80.1402003505009,76.8445289356738,8.583423,0.137,6.2621126,7.77453109622002,90.2768,90.2148,82.0,63916.5579495403,7.031,1
New Zealand,2006,7.604173183441162,10.546432495117188,0.9665327668190002,71.4000015258789,0.8782188892364502,0.2786802351474762,0.2946162223815918,0.8540273308753967,0.23799705505371094,NZL,3.368897,28.924793,75.9930600173499,63.913515178855,21.19913,0.14,7.459868,1.35033201270955,65.0,72.0,40.0,39827.4030440604,8.329,1
Poland,2006,5.875931739807129,10.149191856384277,0.9359238743782043,67.62000274658203,0.8113017082214355,-0.026549983769655228,0.8878958225250244,0.7874891757965088,0.26674678921699524,POL,7.925,10.402209,101.92875,26.8628752795577,24.97688,0.129,3.9270556,37.0480507612228,70.4944,73.3677,40.0,24406.4036465033,6.224,1
Slovakia,2006,5.911059379577637,10.212637901306152,0.9257514476776123,67.27999877929688,0.6200042963027954,-0.02805233746767044,0.9065321683883667,0.656188428401947,0.3022608160972595,SVK,5.68764,8.2851295,92.7542681143295,36.838017006767,15.15367,0.149,5.6499624,28.5584181547165,75.4354,78.8125,14.0,19436.8973748489,7.543,0
Slovenia,2006,5.6783952713012695,10.411523818969727,0.9083475470542908,70.0,0.8877477049827576,0.05234818905591965,0.9091182947158813,0.6198177933692932,0.2908124029636383,SVN,-1.409617,14.274657,99.2024999999998,17.6850998385603,20.71919,0.09,4.5709658,11.7046505212784,76.8,76.3561,37.0,35879.2655017795,8.502,0
South Korea,2006,5.38962459564209,10.38311767578125,0.753609836101532,70.80000305175781,0.5236787796020508,-0.1022142767906189,0.7709595561027527,0.6427385210990906,0.2390572726726532,KOR,12.94863,20.631649,88.4333064847039,32.4226994611414,31.80103,0.175,8.244254448766613,11.6814434528351,94.27491965,80.92197818,18.0,35335.5680636551,5.399,0
Spain,2006,6.188262462615967,10.529244422912598,0.9499403834342957,72.9000015258789,0.7964955568313599,-0.1379983127117157,0.8397462964057922,0.7243123650550842,0.3218194842338562,ESP,12.54054,47.127037,134.555163612091,30.2731590467374,20.19043,0.203,13.495924,3.10875661671162,57.8236,67.4256,69.0,41485.9217785613,9.118,0
Sweden,2006,7.374792098999023,10.880806922912598,0.9306795597076416,72.5999984741211,0.9417246580123901,0.07668816298246384,0.2627965807914734,0.8226757049560547,0.16075542569160461,SWE,10.51848,16.712725,114.35,49.4396245863266,13.49214,0.09,6.8044901,14.502027630806,93.4191,92.8164,62.0,45916.5839424171,10.941,1
Turkey,2006,5.623471736907959,9.90259838104248,0.7922728061676025,63.31999969482422,0.45931151509284973,-0.17824725806713104,0.7997333407402039,0.6509549021720886,0.39512717723846436,TUR,6.274207,70.408333,58.3203670839816,54.5994286962873,36.7479,0.275,34.470078,11.405780157246307,19.7112,27.3081,0.0,40640.148718197495,5.238,1
United Kingdom,2006,7.157151222229004,10.751484870910645,0.942681074142456,72.5,0.8540395498275757,0.2705574333667755,0.48509228229522705,0.7752032279968262,0.25101444125175476,GBR,2.081448,19.939764,116.59225,34.0828862506267,19.878318357723604,0.141,8.6336889,5.88512308895588,95.8457,91.6684,17.0,47936.6285671556,10.154,0
Australia,2007,7.1373677253723145,10.75986385345459,0.9365170001983643,74.19999694824219,0.9052829742431641,0.21003030240535736,0.49109482765197754,0.7691817283630371,0.20507767796516418,AUS,-7.494398,16.244976,113.916499998235,44.6422249484244,10.82319,0.133,7.3563375,11.405780157246307,86.11,82.44,30.0,55206.3936635827,9.418,0
Belgium,2007,6.928347587585449,10.83417797088623,0.921639084815979,71.80000305175781,0.8568019866943359,0.05431389808654785,0.5430460572242737,0.7863675951957703,0.23359769582748413,BEL,8.222116,23.202787,106.37275,44.9731910860775,17.39893,0.092,4.002316,3.5044826567173,85.9684,85.1191,81.0,55130.1819736769,10.785,1
Brazil,2007,6.451148986816406,9.592306137084961,0.8991750478744507,66.5999984741211,0.830206036567688,-0.061973221600055695,0.7618405818939209,0.7608455419540405,0.3370513319969177,BRA,3.732976,45.730812,103.46442502638,34.0850087334004,36.76774,0.341,17.865772,11.405780157246307,71.4,39.4,42.07643312101911,40640.148718197495,9.591,0
Canada,2007,7.175496578216553,10.7980318069458,0.9227187633514404,73.5999984741211,0.9457828998565674,0.10609795898199081,0.37174084782600403,0.8236686587333679,0.2593976557254791,CAN,6.695771,8.3779144,128.243000872793,61.0466915368588,8.493794,0.118,5.9240508,0.654061091181972,93.6,84.1,31.0,53730.1078984874,10.806,1
Colombia,2007,6.387571811676025,9.563640594482422,0.8899000287055969,66.80000305175781,0.7908979654312134,-0.10012606531381607,0.8428993225097656,0.8392945528030396,0.2917693853378296,COL,4.990234,49.589104,100.0,27.1786738027577,52.88057,0.15151481481481477,17.903881,11.405780157246307,41.8,45.5,42.07643312101911,40640.148718197495,1.159,0
