Country name,TIME,Life Ladder,Log GDP per capita,Social support,Freedom to make life choices,Perceptions of corruption,LOCATION,Inflation rate,Adult education,Housing prices,Trust in government,Self-employment rate,Poverty rate,Unemployed youth rate
Germany,2020.0,7.3118977546691895,10.83349895477295,0.9050804972648621,0.8643560409545898,0.4240887761116028,DEU,-4.763047,13.894735,138.684846708534,65.406310434657,,,
Greece,2005.0,6.006309986114502,10.461699485778809,0.8365394473075867,0.7341718077659607,0.8605630993843079,GRC,14.20847,42.286209,136.504861321601,,38.65008,0.143,11.548344
Greece,2007.0,6.646961212158203,10.54334545135498,0.8080026507377625,0.5753088593482971,0.8445709347724915,GRC,2.103877,39.922272,163.77575,,38.3502,0.156,8.4274025
Greece,2009.0,6.038574695587158,10.490744590759277,0.7933176159858704,0.44310784339904785,0.9587683081626892,GRC,-11.36273,38.5051,160.344,,38.45829,0.156,7.9046421
Greece,2010.0,5.8395586013793945,10.433106422424316,0.8684224486351013,0.4841109812259674,0.9541138410568237,GRC,28.79691,37.26366,152.88,23.6502410606961,38.7464,0.156,7.4717603
Greece,2011.0,5.372039794921875,10.338818550109863,0.8515549898147583,0.5281259417533875,0.9411525130271912,GRC,16.51815,35.445217,144.52275,17.5151214535207,39.54084,0.201,8.3398275
Greece,2012.0,5.096354007720947,10.26841926574707,0.8121411204338074,0.3726104199886322,0.9589089751243591,GRC,12.84765,34.217484,127.67075,12.6218991602625,40.33275,0.208,10.659656
Greece,2013.0,4.720251083374023,10.242718696594238,0.6866500377655029,0.4259665310382843,0.9413098692893982,GRC,6.556059,32.80518,113.81625,14.3608581264098,40.55271,0.188,9.2941189
Greece,2014.0,4.756237030029297,10.25675106048584,0.8323332071304321,0.3691563308238983,0.9302138090133667,GRC,-1.784672,31.733679,105.32025,18.8292739352843,39.95525,0.191,10.486202
Greece,2015.0,5.622519016265869,10.258951187133789,0.8348246812820435,0.5317363142967224,0.8239596486091614,GRC,-10.26859,29.780088,100.0,43.7318934948755,38.86119,0.189,8.3757219
Greece,2016.0,5.302619457244873,10.261198997497559,0.8026058673858643,0.4816168546676636,0.8984708189964294,GRC,-0.5248629,28.349747,97.6230000000001,13.2486555093508,37.4388,0.176,8.1349669
Greece,2017.0,5.1482415199279785,10.278116226196289,0.7528995275497437,0.4383000135421753,0.8722394704818726,GRC,6.367336,27.290607,96.6342500000001,13.9880902374867,37.56434,0.159,8.4861383
Greece,2018.0,5.409289360046387,10.299304008483887,0.7935007810592651,0.5644556879997253,0.8603023886680603,GRC,3.21657,26.630527,98.379,15.7048653991274,37.08267,0.139,8.1153069
Greece,2019.0,5.952157497406006,10.31938362121582,0.8908095359802246,0.6135841012001038,0.8480038046836853,GRC,-0.4804818,26.043503,105.4815,39.6424619237357,35.76385,0.144,6.6601119
Greece,2020.0,5.787615776062012,10.214579582214355,0.7785365581512451,0.5646136403083801,0.7643245458602905,GRC,-8.25078,23.603962,110.181750001573,39.7469760890433,35.78616,,7.6681848
Hungary,2005.0,5.193933486938477,10.107747077941895,0.9296282529830933,0.6968744993209839,0.9028106927871704,HUN,7.354639,23.609816,67.095470790453,,16.97581,,6.4243822
Hungary,2007.0,4.953917026519775,10.152791023254395,0.9306538701057434,0.5384981036186218,0.89517742395401,HUN,13.79305,20.79417,98.9099999995804,,15.16948,0.101,4.9968314
Hungary,2009.0,4.8946003913879395,10.097273826599121,0.9008744955062866,0.4643731117248535,0.9147007465362549,HUN,2.724503,19.425785,95.9524999999999,,15.54653,0.097,5.6309371
Hungary,2010.0,4.725132465362549,10.106154441833496,0.8956937193870544,0.5138353705406189,0.9832760095596313,HUN,10.7799,18.707645,93.6599999999999,25.1568123545203,15.26687,0.121,4.637702
Hungary,2011.0,4.9176025390625,10.127015113830566,0.8936622142791748,0.6311001181602478,0.9399080276489258,HUN,9.005525,18.232164,90.4474999999999,35.9794165259357,15.24264,0.124,4.8327742
Hungary,2012.0,4.683358192443848,10.117352485656738,0.9061139822006226,0.5692315101623535,0.930297315120697,HUN,8.704186,17.879883,87.0974999999999,20.9778268131058,14.35195,0.125,4.7687302
Hungary,2013.0,4.914466857910156,10.139545440673828,0.8773183226585388,0.6737282872200012,0.9115331768989563,HUN,-5.453937,17.505869,84.8699999999999,32.7895949552699,13.86723,0.143,5.9510446
Hungary,2014.0,5.180563449859619,10.183334350585938,0.8447352647781372,0.49447470903396606,0.8553614020347595,HUN,-6.823916,16.905603,88.4274999999999,30.8385162025936,13.61067,0.132,6.8410015
Hungary,2015.0,5.344383239746094,10.223447799682617,0.8587338328361511,0.5577213764190674,0.9075303077697754,HUN,-7.586052,16.783051,100.0,27.9211903401081,13.25721,0.105,6.115346
Hungary,2016.0,5.448901653289795,10.248160362243652,0.8995115756988525,0.5539517402648926,0.9241858124732971,HUN,-3.764473,16.637701,113.3775,30.3772330086861,12.89855,0.079,5.0807853
