"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","OVERCROWDING","TOT","PC","A","2014",29.5991867780685,
"HUN","OVERCROWDING","TOT","PC","A","2015",27.8641015291214,
"HUN","OVERCROWDING","TOT","PC","A","2016",27.2100448608398,
"HUN","OVERCROWDING","TOT","PC","A","2017",26.8814921379089,
"HUN","OVERCROWDING","TOT","PC","A","2018",12.5504732131958,
"HUN","OVERCROWDING","TOT","PC","A","2019",11.2888976931572,
"ISL","OVERCROWDING","TOT","PC","A","2010",7.19086602330208,
"ISL","OVERCROWDING","TOT","PC","A","2011",7.61352777481079,
"ISL","OVERCROWDING","TOT","PC","A","2012",7.07593634724617,
"ISL","OVERCROWDING","TOT","PC","A","2013",8.12358632683754,
"ISL","OVERCROWDING","TOT","PC","A","2014",6.01763725280762,
"ISL","OVERCROWDING","TOT","PC","A","2015",6.3838504254818,
"ISL","OVERCROWDING","TOT","PC","A","2016",5.64106181263924,
"ISL","OVERCROWDING","TOT","PC","A","2017",0,
"ISL","OVERCROWDING","TOT","PC","A","2018",9.19455140829086,
"IRL","OVERCROWDING","TOT","PC","A","2010",2.23791506141424,
"IRL","OVERCROWDING","TOT","PC","A","2011",1.20913544669747,
"IRL","OVERCROWDING","TOT","PC","A","2012",1.61809753626585,
"IRL","OVERCROWDING","TOT","PC","A","2013",1.66235268115997,
"IRL","OVERCROWDING","TOT","PC","A","2014",2.46830973774195,
"IRL","OVERCROWDING","TOT","PC","A","2015",1.46831376478076,
"IRL","OVERCROWDING","TOT","PC","A","2016",1.55502827838063,
"IRL","OVERCROWDING","TOT","PC","A","2017",1.43869016319513,
"IRL","OVERCROWDING","TOT","PC","A","2018",1.82755161076784,
"ITA","OVERCROWDING","TOT","PC","A","2010",15.2255520224571,
"ITA","OVERCROWDING","TOT","PC","A","2011",16.7214170098305,
"ITA","OVERCROWDING","TOT","PC","A","2012",17.4680918455124,
"ITA","OVERCROWDING","TOT","PC","A","2013",18.5446530580521,
"ITA","OVERCROWDING","TOT","PC","A","2014",18.5783505439758,
"ITA","OVERCROWDING","TOT","PC","A","2015",18.9530804753304,
"ITA","OVERCROWDING","TOT","PC","A","2016",18.7346443533897,
"ITA","OVERCROWDING","TOT","PC","A","2017",18.6089143157005,
"ITA","OVERCROWDING","TOT","PC","A","2018",18.9316064119339,
"JPN","OVERCROWDING","TOT","PC","A","2010",1.73792149871588,
"JPN","OVERCROWDING","TOT","PC","A","2012",1.48746278136969,
"JPN","OVERCROWDING","TOT","PC","A","2014",1.59600991755724,
"JPN","OVERCROWDING","TOT","PC","A","2016",1.8954623490572,
"JPN","OVERCROWDING","TOT","PC","A","2018",1.64383556693792,
"KOR","OVERCROWDING","TOT","PC","A","2010",11.6814434528351,
"KOR","OVERCROWDING","TOT","PC","A","2014",5.75216189026833,
"KOR","OVERCROWDING","TOT","PC","A","2017",7.74641558527946,
"KOR","OVERCROWDING","TOT","PC","A","2018",6.43194690346718,
"KOR","OVERCROWDING","TOT","PC","A","2019",5.22164106369019,
"LUX","OVERCROWDING","TOT","PC","A","2010",7.77453109622002,
"LUX","OVERCROWDING","TOT","PC","A","2011",6.5757729113102,
"LUX","OVERCROWDING","TOT","PC","A","2012",6.62071704864502,
"LUX","OVERCROWDING","TOT","PC","A","2013",5.84996491670608,
"LUX","OVERCROWDING","TOT","PC","A","2014",6.25401511788368,
"LUX","OVERCROWDING","TOT","PC","A","2015",7.05424919724464,
"LUX","OVERCROWDING","TOT","PC","A","2016",7.01109021902084,
"LUX","OVERCROWDING","TOT","PC","A","2017",7.71608278155327,
"LUX","OVERCROWDING","TOT","PC","A","2018",8.08318629860878,
"LUX","OVERCROWDING","TOT","PC","A","2019",7.20348656177521,
"MEX","OVERCROWDING","TOT","PC","A","2010",35.657012462616,
"MEX","OVERCROWDING","TOT","PC","A","2012",35.0465834140778,
"MEX","OVERCROWDING","TOT","PC","A","2014",33.2659661769867,
"MEX","OVERCROWDING","TOT","PC","A","2016",33.8695973157883,
"MEX","OVERCROWDING","TOT","PC","A","2018",33.1911206245422,
"NLD","OVERCROWDING","TOT","PC","A","2010",2.11842432618141,
"NLD","OVERCROWDING","TOT","PC","A","2011",1.77888218313456,
"NLD","OVERCROWDING","TOT","PC","A","2012",2.76027806103229,
"NLD","OVERCROWDING","TOT","PC","A","2013",3.09864562004805,
"NLD","OVERCROWDING","TOT","PC","A","2014",3.60974483191967,
"NLD","OVERCROWDING","TOT","PC","A","2015",3.48619185388088,
"NLD","OVERCROWDING","TOT","PC","A","2016",4.3135978281498,
"NLD","OVERCROWDING","TOT","PC","A","2017",4.32107076048851,
"NLD","OVERCROWDING","TOT","PC","A","2018",4.27853353321552,
"NLD","OVERCROWDING","TOT","PC","A","2019",4.33706231415272,
"NOR","OVERCROWDING","TOT","PC","A","2010",6.05386272072792,
"NOR","OVERCROWDING","TOT","PC","A","2011",6.11524060368538,
"NOR","OVERCROWDING","TOT","PC","A","2012",6.06539063155651,
"NOR","OVERCROWDING","TOT","PC","A","2013",7.07673877477646,
"NOR","OVERCROWDING","TOT","PC","A","2014",5.43880946934223,
"NOR","OVERCROWDING","TOT","PC","A","2015",6.07909150421619,
"NOR","OVERCROWDING","TOT","PC","A","2016",5.77272772789002,
"NOR","OVERCROWDING","TOT","PC","A","2017",6.14771246910095,
"NOR","OVERCROWDING","TOT","PC","A","2018",7.36623555421829,
"NOR","OVERCROWDING","TOT","PC","A","2019",7.34085440635681,
"POL","OVERCROWDING","TOT","PC","A","2010",38.3512228727341,
"POL","OVERCROWDING","TOT","PC","A","2011",38.3629977703094,
"POL","OVERCROWDING","TOT","PC","A","2012",37.0480507612228,
"POL","OVERCROWDING","TOT","PC","A","2013",35.7118487358093,
"POL","OVERCROWDING","TOT","PC","A","2014",35.3622019290924,
"POL","OVERCROWDING","TOT","PC","A","2015",33.2670390605926,
"POL","OVERCROWDING","TOT","PC","A","2016",31.820559501648,
"POL","OVERCROWDING","TOT","PC","A","2017",31.6832721233368,
"POL","OVERCROWDING","TOT","PC","A","2018",30.6500613689423,
"POL","OVERCROWDING","TOT","PC","A","2019",29.3557792901993,
"PRT","OVERCROWDING","TOT","PC","A","2010",8.9065745472908,
"PRT","OVERCROWDING","TOT","PC","A","2011",6.3974991440773,
"PRT","OVERCROWDING","TOT","PC","A","2012",5.73588348925114,
"PRT","OVERCROWDING","TOT","PC","A","2013",6.07500821352005,
"PRT","OVERCROWDING","TOT","PC","A","2014",5.51965534687042,
"PRT","OVERCROWDING","TOT","PC","A","2015",5.3651437163353,
"PRT","OVERCROWDING","TOT","PC","A","2016",5.41521348059177,
"PRT","OVERCROWDING","TOT","PC","A","2017",4.93813529610634,
"PRT","OVERCROWDING","TOT","PC","A","2018",5.13937436044216,
"PRT","OVERCROWDING","TOT","PC","A","2019",5.01010678708553,
"SVK","OVERCROWDING","TOT","PC","A","2010",29.7231286764145,
"SVK","OVERCROWDING","TOT","PC","A","2011",29.0748119354248,
"SVK","OVERCROWDING","TOT","PC","A","2012",28.5584181547165,
"SVK","OVERCROWDING","TOT","PC","A","2013",29.4558495283127,
"SVK","OVERCROWDING","TOT","PC","A","2014",28.0640631914139,
"SVK","OVERCROWDING","TOT","PC","A","2015",27.662268280983,
"SVK","OVERCROWDING","TOT","PC","A","2016",27.3581475019455,
"SVK","OVERCROWDING","TOT","PC","A","2017",26.4325648546219,
"SVK","OVERCROWDING","TOT","PC","A","2018",25.7545500993729,
"SVK","OVERCROWDING","TOT","PC","A","2019",25.6991326808929,
"ESP","OVERCROWDING","TOT","PC","A","2010",3.10875661671162,
"ESP","OVERCROWDING","TOT","PC","A","2011",3.72533947229385,
"ESP","OVERCROWDING","TOT","PC","A","2012",2.90251169353724,
"ESP","OVERCROWDING","TOT","PC","A","2013",3.07297129184008,
"ESP","OVERCROWDING","TOT","PC","A","2014",2.94702053070068,
"ESP","OVERCROWDING","TOT","PC","A","2015",2.8797160834074,
"ESP","OVERCROWDING","TOT","PC","A","2016",3.04321832954884,
"ESP","OVERCROWDING","TOT","PC","A","2017",2.84244529902935,
"ESP","OVERCROWDING","TOT","PC","A","2018",2.67251785844564,
"ESP","OVERCROWDING","TOT","PC","A","2019",3.01369410008192,
"SWE","OVERCROWDING","TOT","PC","A","2010",12.0303884148598,
"SWE","OVERCROWDING","TOT","PC","A","2011",12.0999552309513,
"SWE","OVERCROWDING","TOT","PC","A","2012",11.8940234184265,
"SWE","OVERCROWDING","TOT","PC","A","2013",13.3909404277802,
"SWE","OVERCROWDING","TOT","PC","A","2014",12.5904351472855,
"SWE","OVERCROWDING","TOT","PC","A","2015",14.6031498908997,
"SWE","OVERCROWDING","TOT","PC","A","2016",15.0855347514152,
"SWE","OVERCROWDING","TOT","PC","A","2017",13.3286729454994,
"SWE","OVERCROWDING","TOT","PC","A","2018",14.502027630806,
"SWE","OVERCROWDING","TOT","PC","A","2019",14.3614172935486,
"CHE","OVERCROWDING","TOT","PC","A","2010",5.32211698591709,
"CHE","OVERCROWDING","TOT","PC","A","2011",5.02718575298786,
"CHE","OVERCROWDING","TOT","PC","A","2012",4.63976748287678,
"CHE","OVERCROWDING","TOT","PC","A","2013",5.12208864092827,
"CHE","OVERCROWDING","TOT","PC","A","2014",5.27784042060375,
"CHE","OVERCROWDING","TOT","PC","A","2015",5.41145280003548,
"CHE","OVERCROWDING","TOT","PC","A","2016",5.58588206768036,
"CHE","OVERCROWDING","TOT","PC","A","2018",5.35096377134323,
"CHE","OVERCROWDING","TOT","PC","A","2019",5.05444034934044,
"GBR","OVERCROWDING","TOT","PC","A","2010",3.31182144582272,
"GBR","OVERCROWDING","TOT","PC","A","2011",3.39998789131641,
"GBR","OVERCROWDING","TOT","PC","A","2012",5.07083646953106,
"GBR","OVERCROWDING","TOT","PC","A","2013",5.65054453909397,
"GBR","OVERCROWDING","TOT","PC","A","2014",5.4533090442419,
"GBR","OVERCROWDING","TOT","PC","A","2015",5.42227812111378,
"GBR","OVERCROWDING","TOT","PC","A","2016",5.88512308895588,
"USA","OVERCROWDING","TOT","PC","A","2010",3.73374372720718,
"USA","OVERCROWDING","TOT","PC","A","2011",3.75785678625107,
"USA","OVERCROWDING","TOT","PC","A","2012",3.6859106272459,
"USA","OVERCROWDING","TOT","PC","A","2013",3.77136841416359,
"USA","OVERCROWDING","TOT","PC","A","2014",3.78335639834404,
"USA","OVERCROWDING","TOT","PC","A","2015",4.20236624777317,
"USA","OVERCROWDING","TOT","PC","A","2016",4.24419529736042,
"USA","OVERCROWDING","TOT","PC","A","2017",4.18606959283352,
"USA","OVERCROWDING","TOT","PC","A","2018",4.18898798525333,
"USA","OVERCROWDING","TOT","PC","A","2019",4.23656515777111,
"CHL","OVERCROWDING","TOT","PC","A","2011",9.82161909341812,
"CHL","OVERCROWDING","TOT","PC","A","2013",9.25341174006462,
"EST","OVERCROWDING","TOT","PC","A","2011",9.08089503645897,
"EST","OVERCROWDING","TOT","PC","A","2012",9.29815694689751,
"EST","OVERCROWDING","TOT","PC","A","2013",14.1817331314087,
"EST","OVERCROWDING","TOT","PC","A","2014",9.67445969581604,
"EST","OVERCROWDING","TOT","PC","A","2015",8.34871679544449,
"EST","OVERCROWDING","TOT","PC","A","2016",8.30134153366089,
"EST","OVERCROWDING","TOT","PC","A","2017",8.76618474721909,
"EST","OVERCROWDING","TOT","PC","A","2018",8.0066628754139,
"EST","OVERCROWDING","TOT","PC","A","2019",9.94999706745148,
"LVA","OVERCROWDING","TOT","PC","A","2010",46.8481928110123,
"LVA","OVERCROWDING","TOT","PC","A","2011",34.0795755386352,
